"period","source","id","Longitude","Latitude","bioc_1","bioc_2","bioc_3","bioc_4","bioc_5","bioc_6","bioc_7","bioc_8","bioc_9","bioc_10","bioc_11","bioc_12","bioc_13","bioc_14","bioc_15","bioc_16","bioc_17","bioc_18","bioc_19","bioc_21","bioc_22","bioc_23","bioc_24","bioc_25","bioc_26","bioc_27","bioc_28","bioc_29","t10","cdd"
"Baseline","Bunn","1",-51.06249328,-23.85416478,20.6192283630371,9.85310745239258,61.6658363342285,251.524215698242,28.2023620605469,12.2241353988647,15.9782266616821,23.5650501251221,17.6469383239746,23.5650501251221,17.4245300292969,1629.2294921875,243.585861206055,61.6079864501953,37.3953514099121,607.777221679688,250.286209106445,607.777221679688,288.078491210938,488.272552490234,23.3912029266357,54.4197769165039,23.9908313751221,30.4289455413818,136.648132324219,93.1298446655273,136.648132324219,81.8487854003906,28.44999967888,132.600002288818
"Baseline","Bunn","10",-45.93749301,-22.43749804,21.350944519043,9.70221328735352,61.5326766967773,208.42236328125,28.4881973266602,12.7206192016602,15.767578125,23.6464996337891,18.6986122131348,23.6464996337891,18.6986122131348,1445.63635253906,278.752502441406,26.9912509918213,70.3020477294922,701.07373046875,91.9430847167969,701.07373046875,91.9430847167969,491.653015136719,14.4517450332642,49.3944625854492,30.3126773834229,19.0817852020264,125.921699523926,106.596336364746,125.921699523926,106.596336364746,11.3499998450279,148.649999141693
"Baseline","Bunn","100",-46.22915969,-20.93749796,22.5734081268311,9.48709774017334,64.8740234375,176.606689453125,28.9517154693604,14.3278388977051,14.6238765716553,24.3659687042236,20.2568435668945,24.3676528930664,20.1826305389404,1426.09387207031,293.030303955078,15.5312280654907,80.5398178100586,745.696166992188,56.8992767333984,655.228637695312,83.9041900634766,497.028106689453,17.1331539154053,53.7443580627441,32.5988502502441,21.1455078125,112.89485168457,118.472953796387,115.571014404297,104.807815551758,1.79999998956919,155.299999713898
"Baseline","Bunn","1000",-73.10416109,7.31250351,22.5269565582275,6.40093564987183,74.6611709594727,77.1663818359375,26.5628681182861,17.9895553588867,8.57331275939941,22.5749359130859,23.2336616516113,23.3294620513916,21.5897197723389,1607.42700195312,233.406600952148,81.575813293457,37.4402313232422,572.5595703125,272.833923339844,313.793640136719,382.831512451172,365.430603027344,11.8796873092651,34.45654296875,23.3531551361084,11.1033878326416,79.8414688110352,97.1206970214844,99.103141784668,88.4198760986328,0,91.0999989509583
"Baseline","Bunn","1001",-73.10416109,7.354170179,21.8757133483887,6.46804189682007,74.2178039550781,80.236083984375,25.9951572418213,17.2802104949951,8.71494674682617,21.938777923584,20.9680061340332,22.7157726287842,20.9157562255859,1666.04772949219,251.136444091797,71.451530456543,37.6863746643066,597.12939453125,272.453155517578,357.796173095703,385.152526855469,359.477233886719,12.4388561248779,34.5342254638672,22.8798294067383,11.6543960571289,77.9118041992188,97.2028732299805,96.1931228637695,87.2345809936523,0,91.1000003814697
"Baseline","Bunn","1002",-73.10416109,7.395836848,21.8757133483887,6.46804189682007,74.2178039550781,80.236083984375,25.9951572418213,17.2802104949951,8.71494674682617,21.938777923584,20.9680061340332,22.7157726287842,20.9157562255859,1666.04772949219,251.136444091797,71.451530456543,37.6863746643066,597.12939453125,272.453155517578,357.796173095703,385.152526855469,359.477233886719,12.4388561248779,34.5342254638672,22.8798294067383,11.6543960571289,77.9118041992188,97.2028732299805,96.1931228637695,87.2345809936523,0,91.1000003814697
"Baseline","Bunn","1003",36.93751132,7.479170185,19.7748718261719,10.8787269592285,74.4259262084961,75.1438446044922,27.3977527618408,12.7809019088745,14.6168508529663,19.2018146514893,20.1250648498535,20.6324520111084,19.108585357666,1662.0205078125,280.922821044922,36.6278800964355,62.0500411987305,755.807006835938,113.043853759766,288.683990478516,210.776245117188,555.75244140625,20.5743427276611,58.1583938598633,29.9655742645264,28.1928195953369,99.1682510375977,163.84391784668,167.037139892578,150.150436401367,2.34999995306134,128.149998664856
"Baseline","Bunn","1004",36.97917798,7.479170185,20.3053073883057,10.9171133041382,74.0503463745117,77.0830841064453,27.9284038543701,13.1855783462524,14.7428255081177,19.7749328613281,20.5807285308838,21.1841831207275,19.5820503234863,1605.08471679688,270.338531494141,32.7182502746582,63.0370597839355,733.893432617188,105.312911987305,273.381134033203,198.850982666016,568.17578125,20.4150276184082,59.5359954833984,30.9626026153564,28.573392868042,101.827735900879,167.151000976562,170.754028320312,153.507080078125,1.35000002384186,133.25
"Baseline","Bunn","1005",36.97917798,7.604170192,21.2054119110107,11.0398750305176,72.0220947265625,84.1604843139648,28.8690223693848,13.540566444397,15.3284559249878,20.8008575439453,21.2256908416748,22.2148189544678,20.3103637695312,1491.31701660156,261.761627197266,29.9680824279785,66.3976516723633,708.394836425781,93.2399597167969,371.484100341797,176.919982910156,591.857055664062,21.3860702514648,62.1988639831543,31.4587306976318,30.7401332855225,103.901466369629,175.081665039062,166.433944702148,160.78352355957,1.34999996423721,132.89999961853
"Baseline","Bunn","1006",36.89584465,7.645836861,21.1644802093506,11.1513433456421,72.4239120483398,84.2057342529297,28.889965057373,13.4926433563232,15.3973217010498,20.7285308837891,21.2071056365967,22.1782569885254,20.2889308929443,1515.70092773438,247.858322143555,33.1926956176758,62.3403968811035,690.52685546875,104.545272827148,385.399444580078,194.719482421875,595.908386230469,20.4521942138672,62.5715370178223,33.1067161560059,29.4648208618164,107.208709716797,175.458160400391,166.714828491211,160.623153686523,1.74999998882413,130.000000953674
"Baseline","Bunn","1007",36.93751132,7.645836861,20.8766555786133,11.0908546447754,72.3367233276367,82.5144271850586,28.5748615264893,13.2426013946533,15.3322601318359,20.4490947723389,20.9303569793701,21.8592720031738,20.0093669891357,1528.71716308594,258.258514404297,32.1140251159668,63.7702865600586,708.589233398438,101.729362487793,384.664733886719,192.467391967773,587.585693359375,21.0737533569336,61.7772254943848,31.8006896972656,29.9765357971191,104.079345703125,173.789321899414,164.750244140625,159.119064331055,2.24999998882413,131.700002193451
"Baseline","Bunn","1008",-82.93749494,8.729170251,22.9992275238037,6.57251691818237,70.926513671875,66.0957717895508,27.7960071563721,18.5293502807617,9.26665687561035,22.8795700073242,23.2168369293213,23.8078937530518,22.1363964080811,4119.24365234375,633.936462402344,70.2570495605469,60.2044868469238,1703.96789550781,248.46369934082,732.82763671875,695.767272949219,196.57942199707,107.814109802246,42.1826095581055,0,42.1826095581055,0,118.293884277344,81.770622253418,67.783088684082,0,0
